T S
1.000000000000000048e-04 6.916602988204964032e-03
1.601535406401422565e-04 1.184044378606935455e-02
2.564915657957369437e-04 2.031136728267047414e-02
3.245946526324282864e-04 2.663965556232561135e-02
4.107803240652127823e-04 3.496165279757234429e-02
5.198498289194045411e-04 4.591794575294930181e-02
6.578792332434885365e-04 6.034736293435759291e-02
8.325579070261485701e-04 7.939918651511984615e-02
1.053616885175667631e-03 1.045755222594243056e-01
1.333370965981840479e-03 1.379021167815857596e-01
1.687404746391212062e-03 1.820967461395670839e-01
3.419984068512565891e-03 4.230139497529463166e-01
4.328050855330403679e-03 5.622025981334607403e-01
5.477225575051662167e-03 7.487271953621441600e-01
6.931526685517610045e-03 9.995144245805364092e-01
8.771970687292629520e-03 1.337797069959920204e+00
1.110108540727275037e-02 1.795883313926883940e+00
1.404862163961456516e-02 2.418988059343599950e+00
1.777878132923346385e-02 3.270975716788555143e+00
2.249936496697993102e-02 4.443066774644651495e+00
4.560107461075104535e-02 1.154680797385005597e+01
5.770897349790431868e-02 1.614367113755476524e+01
7.303173555907076231e-02 2.284585330407464454e+01
9.242296432397510697e-02 3.285041904429205317e+01
1.169629102887976141e-01 4.828517849629910330e+01
1.480186497294216363e-01 7.329432074036282074e+01
1.873202420632626153e-01 1.171684214972044487e+02
2.370571083493993592e-01 2.063041665307092671e+02
2.999999999999999334e-01 4.618846934597491440e+02
