Tn gD alpha
2.9887810682562459e-05 0.5000000000000000 1.1945223192824248e+15
1.7299980167911593e-04 0.5208333333333334 1.0641142577818477e+12
5.8442287160008239e-04 0.5416666666666666 8.1707489693968439e+09
1.3954994052849381e-03 0.5625000000000000 2.5133447293294483e+08
2.8272392570780395e-03 0.5833333333333334 1.4918337678544501e+07
5.9961953619821051e-03 0.6041666666666666 7.3733964701154712e+05
9.5818249900817692e-03 0.6250000000000000 1.1307790302104533e+05
2.5268013821749119e-02 0.6666666666666666 2.3382247875769135e+03
4.5363840152006285e-02 0.7083333333333333 2.2507716562302232e+02
5.7156819965326067e-02 0.7291666666666666 8.9309663188975676e+01
6.9787507174665447e-02 0.7500000000000000 4.0184626979423705e+01
8.2989804923221083e-02 0.7708333333333333 2.0094245706359104e+01
9.6450228469449992e-02 0.7916666666666666 1.1014318743603285e+01
1.0999765004012836e-01 0.8125000000000000 6.5108404785273999e+00
1.2340995215378124e-01 0.8333333333333333 4.1093198646618641e+00
1.3657345288001035e-01 0.8541666666666666 2.7397158698959330e+00
1.4935729810629947e-01 0.8750000000000000 1.9154238424075156e+00
1.6169128005109359e-01 0.8958333333333333 1.3945185205526895e+00
1.7352703381790127e-01 0.9166666666666666 1.0512405634538649e+00
1.8484865397175446e-01 0.9375000000000000 8.1640473217333209e-01
1.9564231949993252e-01 0.9583333333333333 6.5060810751184761e-01
1.9999592961012067e-01 0.9791666666666666 5.9578018637924390e-01
1.9999517852989654e-01 1.0000000000000000 5.9578913622084495e-01
