Tn gD beta
2.988781068256246000e-05 5.000000000000000000e-01   13.156750273635797
7.329593575759172000e-05 5.100000000000000000e-01   15.58529037377502          
1.729998016791159300e-04 5.208333333333333703e-01   17.831512681858435
5.844228716000824000e-04 5.416666666666666297e-01   20.48864329529103
1.395499405284938100e-03 5.625000000000000000e-01   23.757095394526324
2.827239257078039500e-03 5.833333333333333703e-01   27.10224955563027
5.996195361982105000e-03 6.041666666666666297e-01   32.806179372041456
9.581824990081770000e-03 6.250000000000000000e-01   36.71532087160356
2.526801382174912000e-02 6.666666666666666297e-01   52.2726172835945
4.536384015200628506e-02 7.083333333333332593e-01   67.37187143725565
5.715681996532606668e-02 7.291666666666666297e-01   75.96563154880805
6.978750717466544740e-02 7.500000000000000000e-01   85.34865478348122
8.298980492322108327e-02 7.708333333333332593e-01   95.57365162922338
9.645022846944999173e-02 7.916666666666666297e-01   106.59391859142409
1.099976500401283613e-01 8.125000000000000000e-01   118.62050765154694
1.234099521537812411e-01 8.333333333333332593e-01   131.44903309808967
1.365734528800103542e-01 8.541666666666666297e-01   145.27443104012275
1.493572981062994687e-01 8.750000000000000000e-01   160.08288757048197
1.616912800510935944e-01 8.958333333333332593e-01   175.9238920982055
1.7352703381790127e-01   0.9166666666666666         192.84723885947585
1.8484865397175446e-01   0.9375000000000000         208.94847810709288
1.9564231949993252e-01   0.9583333333333333         227.74422103755163
1.9999592961012067e-01   0.9791666666666666         229.11821869718514
1.9999517852989654e-01   1.0000000000000000         213.45358639768855
