# gD    Tn    alpha    beta
5.000000e-01 3.159569e-04 6.186978e+11 2.310615e+01
5.147059e-01 5.270030e-04 6.814126e+10 2.334404e+01
5.294118e-01 8.362850e-04 9.320177e+09 2.383331e+01
5.441176e-01 1.810644e-03 3.165939e+08 2.813380e+01
5.588235e-01 3.122659e-03 2.972266e+07 3.159549e+01
5.735294e-01 4.209635e-03 8.309428e+06 3.413114e+01
5.882353e-01 5.894910e-03 1.956451e+06 3.531374e+01
6.029412e-01 1.092325e-02 1.340150e+05 4.217082e+01
6.176471e-01 1.352479e-02 5.415772e+04 4.552729e+01
6.323529e-01 1.739793e-02 1.848248e+04 5.022271e+01
6.470588e-01 2.392122e-02 4.715633e+03 5.643895e+01
6.617647e-01 3.226801e-02 1.310438e+03 6.340572e+01
6.764706e-01 3.971454e-02 5.425188e+02 6.998689e+01
6.911765e-01 4.625357e-02 2.850782e+02 7.530704e+01
7.058824e-01 5.258451e-02 1.661451e+02 7.850635e+01
7.205882e-01 5.933463e-02 9.996143e+01 8.256791e+01
7.352941e-01 6.772357e-02 5.723262e+01 8.819073e+01
7.500000e-01 7.599483e-02 3.524571e+01 9.391997e+01
7.647059e-01 8.547549e-02 2.148954e+01 1.018009e+02
7.794118e-01 9.975504e-02 1.119987e+01 1.172356e+02
7.941176e-01 1.070930e-01 8.331273e+00 1.225997e+02
8.088235e-01 1.177195e-01 5.605770e+00 1.337646e+02
8.235294e-01 1.306615e-01 3.621805e+00 1.509996e+02
8.382353e-01 1.364624e-01 3.026492e+00 1.546639e+02
8.529412e-01 1.474110e-01 2.193545e+00 1.703701e+02
8.676471e-01 1.524197e-01 1.911560e+00 1.728927e+02
8.823529e-01 1.652948e-01 1.363294e+00 1.958235e+02
8.970588e-01 1.733914e-01 1.118257e+00 2.075115e+02
9.117647e-01 1.809579e-01 9.371213e-01 2.182806e+02
9.264706e-01 1.844617e-01 8.665116e-01 2.173676e+02
9.411765e-01 1.951748e-01 6.856580e-01 2.384329e+02
9.558824e-01 1.977767e-01 6.497766e-01 2.442660e+02
9.705882e-01 2.068820e-01 5.393850e-01 2.661018e+02
9.852941e-01 2.121094e-01 4.867749e-01 2.734464e+02
1.000000e+00 2.165000e-01 4.475171e-01 2.774186e+02
