# gD    Tn    alpha    beta
5.000000e-01 3.159569e-04 6.186978e+11 2.310615e+01
5.294118e-01 8.362850e-04 9.320177e+09 2.383331e+01
5.735294e-01 4.209635e-03 8.309428e+06 3.413114e+01
6.176471e-01 1.352479e-02 5.415772e+04 4.552729e+01
6.617647e-01 3.226801e-02 1.310438e+03 6.340572e+01
7.058824e-01 5.258451e-02 1.661451e+02 7.850635e+01
7.500000e-01 7.599483e-02 3.524571e+01 9.391997e+01
7.794118e-01 9.975504e-02 1.119987e+01 1.172356e+02
8.235294e-01 1.306615e-01 3.621805e+00 1.509996e+02
8.676471e-01 1.524197e-01 1.911560e+00 1.728927e+02
9.117647e-01 1.809579e-01 9.371213e-01 2.182806e+02
9.558824e-01 1.977767e-01 6.497766e-01 2.442660e+02
1.000000e+00 2.165000e-01 4.475171e-01 2.774186e+02
