# gD    Tn    alpha    beta
5.000000e-01 nan nan nan
5.263158e-01 nan nan nan
5.526316e-01 nan nan nan
5.789474e-01 nan nan nan
6.052632e-01 nan nan nan
6.315789e-01 nan nan nan
6.578947e-01 nan nan nan
6.842105e-01 nan nan nan
7.105263e-01 nan nan nan
7.368421e-01 6.083579e-06 7.706430e+15 2.014754e+01
7.631579e-01 2.344301e-04 2.171975e+10 2.699993e+01
7.894737e-01 1.802082e-03 1.015621e+07 3.779788e+01
8.157895e-01 6.332894e-03 8.317932e+04 5.047899e+01
8.421053e-01 1.460426e-02 3.454787e+03 6.491062e+01
8.684211e-01 2.630405e-02 3.774728e+02 8.113448e+01
8.947368e-01 4.055834e-02 7.574596e+01 9.915432e+01
9.210526e-01 5.640370e-02 2.269544e+01 1.193037e+02
9.473684e-01 7.298366e-02 8.973529e+00 1.415894e+02
9.736842e-01 8.964189e-02 4.326164e+00 1.655127e+02
1.000000e+00 1.059606e-01 2.408623e+00 1.920958e+02
