T  S
1.000000000000000082e-05 1.096661467111280786e+02
1.202122134519857758e-05 1.117723644836615904e+02
1.445097626302581775e-05 1.130429839395626885e+02
1.737183843120439119e-05 1.158758096993261688e+02
2.088307149545351885e-05 1.177282916694729096e+02
2.510400248144537978e-05 1.197261733481179391e+02
3.017807704798698674e-05 1.225369772127110934e+02
3.627773439663084114e-05 1.748035904215745120e+02
4.361026750842233248e-05 1.829040381544609772e+02
5.242486786420664515e-05 1.304779679584634380e+02
6.302109405884172104e-05 1.879454654191326028e+02
7.575905210979152950e-05 1.360879272536089672e+02
9.107163343142371005e-05 2.015063890999282989e+02
1.094792263747933274e-04 2.595296955716435150e+02
1.316074012952492571e-04 1.455230487610309638e+02
1.582081701636565084e-04 1.490762559520066759e+02
1.901855432156158228e-04 1.526972377357860751e+02
2.286262511651749782e-04 1.564551698077994502e+02
2.748366770579532500e-04 3.508737363068262880e+02
3.303872528692515455e-04 1.646077222544743961e+02
3.971658296373370704e-04 1.688647715793728423e+02
4.774418348819862426e-04 1.734719115268695475e+02
5.739433976574107336e-04 2.943378812349294549e+02
6.899500622855067686e-04 1.832520246854895163e+02
8.294042415867630214e-04 1.885434216218203858e+02
9.970451972761032282e-04 1.941214528362599481e+02
1.198570100762323112e-03 3.709846248371346178e+02
1.440827647900084704e-03 2.062268983667619011e+02
1.732050807568877608e-03 2.128469551404214997e+02
2.082136613891542257e-03 2.198800435610245074e+02
2.502982510653252272e-03 2.273659851797682450e+02
3.008890678372360197e-03 2.353723178528352378e+02
3.617054084821887550e-03 2.439246039005019497e+02
4.348140777119862722e-03 2.531082394982487358e+02
5.226996272184161740e-03 2.629896892904247352e+02
6.283487915845369955e-03 2.736607842124030299e+02
7.553519905625767812e-03 2.852178472056136798e+02
9.080253472089091712e-03 2.977904806098961217e+02
1.091557368584908719e-02 6.932620704445691899e+02
1.312185273874170999e-02 3.265595133203464684e+02
1.577406962315142450e-02 3.431715628509875842e+02
1.896235824544765733e-02 3.616041900743994120e+02
2.279507056954778454e-02 3.821910517217694405e+02
2.740245888959556841e-02 4.053541413676881007e+02
3.294110237145330550e-02 4.316401365566158006e+02
3.959922829620859258e-02 4.617695162743203809e+02
4.760310884477747528e-02 4.967080148851958370e+02
5.722475081426501436e-02 5.377901642923366126e+02
6.879113959621128982e-02 5.869133512143357621e+02
8.269535156745110027e-02 6.468849851696666065e+02
9.940991254113437647e-02 7.220498952539476250e+02
1.195028562563808239e-01 8.195532556524035499e+02
1.436570286441405386e-01 9.520983978129365823e+02
1.726932939124745658e-01 1.144822862106167122e+03
2.075984310953290779e-01 1.455922974878490550e+03
2.495586691112905708e-01 2.058290953237495614e+03
2.999999999999999334e-01 3.853458319584509354e+03
