T  S
1.000000000000000082e-05 5.215336786892637377e+01
1.354191354746465687e-05 7.382945778016635074e+01
1.833834225270068407e-05 5.677321981886709779e+01
2.483362453898909180e-05 1.158984263022161798e+02
3.362947965771871493e-05 6.044877509897045798e+01
4.554075061710472817e-05 6.327001251070351628e+01
6.167089077434799839e-05 6.574132910985223077e+01
8.351418712613563203e-05 1.000246158121916125e+02
1.130941902048914675e-04 1.139708949875861776e+02
1.531511746475164445e-04 7.447309237888515554e+01
2.073959966769328819e-04 7.782456342765993895e+01
2.808538657089289844e-04 8.137287123415121926e+01
3.803298768901564584e-04 8.516687979571769063e+01
5.150394312364375230e-04 8.930701568740884966e+01
6.974619451339198264e-04 9.379433440935922306e+01
9.444969363650080642e-04 9.866093243896662557e+01
1.279029585810016701e-03 1.039657849388789401e+02
1.732050807568877608e-03 1.934378949369092311e+02
2.345528229591408321e-03 1.162559375719557693e+02
3.176294050826465511e-03 1.234077176996414948e+02
4.301309943761831393e-03 1.313971352310284999e+02
5.824796739927278443e-03 1.403937159733244471e+02
7.887889388364910034e-03 1.506114603696973120e+02
1.068171161692014863e-02 1.623286459425343082e+02
1.446508152552815861e-02 3.828120337697611717e+02
1.958848834757305132e-02 1.919453238647561193e+02
2.652656157283530755e-02 2.111175750314528727e+02
3.592204035308334958e-02 2.345640482154399535e+02
4.864531649099915200e-02 2.640060687655468996e+02
6.587506704101672717e-02 3.022898332254060847e+02
8.920744628028862144e-02 3.545105158313932634e+02
1.208039525317766150e-01 4.308798390319531109e+02
1.635916681377343196e-01 5.556752785255550862e+02
2.215344227006726674e-01 8.060036225693183951e+02
2.999999999999999334e-01 1.647481788912717320e+03
