T  S
1.000000000000000082e-05 1.479670059241346678e+02
1.354191354746465687e-05 6.390953853939273444e+01
1.833834225270068407e-05 6.351701794041775173e+01
2.483362453898909180e-05 6.612213468059741217e+01
3.362947965771871493e-05 6.888844433975610571e+01
4.554075061710472817e-05 7.133178045914826271e+01
6.167089077434799839e-05 7.438100118829025575e+01
8.351418712613563203e-05 1.376621413339963453e+02
1.130941902048914675e-04 8.037156673290868980e+01
1.531511746475164445e-04 8.383017136015628523e+01
2.073959966769328819e-04 8.758067247984178039e+01
2.808538657089289844e-04 9.152215370509051695e+01
3.803298768901564584e-04 1.412409784467060376e+02
5.150394312364375230e-04 1.002908981161327375e+02
6.974619451339198264e-04 1.052403599138519326e+02
9.444969363650080642e-04 1.106292766472744376e+02
1.279029585810016701e-03 1.165297551544653203e+02
1.732050807568877608e-03 2.011058997759285489e+02
2.345528229591408321e-03 1.301581335721309358e+02
3.176294050826465511e-03 1.381140642090334723e+02
4.301309943761831393e-03 1.470021551371167732e+02
5.824796739927278443e-03 1.570277439113848459e+02
7.887889388364910034e-03 3.478313913019597408e+02
1.068171161692014863e-02 1.815241454883872336e+02
1.446508152552815861e-02 1.967582734232358348e+02
1.958848834757305132e-02 2.147335423962657330e+02
2.652656157283530755e-02 2.363134949218217855e+02
3.592204035308334958e-02 2.627841315263709134e+02
4.864531649099915200e-02 2.961512219299324897e+02
6.587506704101672717e-02 3.397229551690583662e+02
8.920744628028862144e-02 3.993968617607644092e+02
1.208039525317766150e-01 4.873761147684953130e+02
1.635916681377343196e-01 6.333674138179029569e+02
2.215344227006726674e-01 9.356663288954609925e+02
2.999999999999999334e-01 2.069447996494227027e+03
