T  S_E
1.000000000000000048e-04 7.704366311960525807e-03
1.771600539669121747e-04 1.476548116574075663e-02
3.138568472155920048e-04 2.840842024938942598e-02
5.560289599059919019e-04 5.497954116912791983e-02
9.850612054411156913e-04 1.069961313889273291e-01
1.745134963166594406e-03 2.096860511797651039e-01
3.091682042541391527e-03 4.144104772148856641e-01
5.477225575051662167e-03 8.282675070314832189e-01
9.703455784651040042e-03 1.679573150190661446e+00
1.719064750474322625e-02 3.472873153499984600e+00
3.045496039666474239e-02 7.383294713647666541e+00
5.395402427433299009e-02 1.638364157742450544e+01
9.558497852172911924e-02 3.918230125687424703e+01
1.693383995333567205e-01 1.106300496993871718e+02
2.999999999999999334e-01 6.624706493286241766e+02
