T  S
1.000000000000000048e-04 4.790277892898844175e-03
1.771600539669121747e-04 5.041019741916572330e-03
3.138568472155920048e-04 9.950698303477941570e-03
5.560289599059919019e-04 1.969853655280816990e-02
9.850612054411156913e-04 3.912126700045427674e-02
1.745134963166594406e-03 7.808629128321194213e-02
3.091682042541391527e-03 1.570138255086612478e-01
5.477225575051662167e-03 3.187761261278128644e-01
9.703455784651040042e-03 6.558499807727323772e-01
1.719064750474322625e-02 1.374282668681376496e+00
3.045496039666474239e-02 2.957504772732001186e+00
5.395402427433299009e-02 6.635105072135509374e+00
9.558497852172911924e-02 1.601599884091907455e+01
1.693383995333567205e-01 4.540317021341572001e+01
2.999999999999999334e-01 2.586023628336110392e+02
