T  S
1.000000000000000082e-05 5.823413998725917445e-04
1.536550077817304180e-05 9.300498211296662817e-04
2.360986141640368288e-05 1.516745504981647976e-03
3.627773439663084114e-05 2.447555905450692418e-03
5.574255561017860903e-05 3.978049267993972495e-03
8.565122816055552280e-05 1.388867637829465686e-02
1.316074012952492571e-04 1.868428822793554572e-02
2.022213627015486325e-04 3.195793012605521038e-02
3.107232505953861300e-04 2.812631315984549449e-02
4.774418348819862426e-04 4.616092694370952515e-02
7.336132885411532486e-04 7.597199266514974292e-02
1.127233555595718575e-03 1.255478797256649182e-01
1.732050807568877608e-03 2.083155828965043421e-01
2.661382803153485889e-03 6.621033692541651305e-01
4.089347953287128176e-03 5.824936818321577725e-01
6.283487915845369955e-03 9.840882049599591896e-01
9.654893846056302603e-03 1.677445209925392700e+00
1.483522789047563885e-02 2.891370442282203523e+00
2.279507056954778454e-02 5.058366895610530101e+00
3.502576745748962189e-02 9.024372693449196348e+00
5.381884571241653259e-02 1.656564485939803433e+01
8.269535156745110027e-02 3.177808897834259483e+01
1.270655488860965854e-01 6.591525647464679594e+01
1.952425790288301599e-01 1.631115055132673888e+02
2.999999999999999334e-01 8.596820821577881588e+02
