T  S
1.000000000000000082e-05 1.550191625847192789e+01
1.234155325345469435e-05 2.031632532522548829e+01
1.523139367078581501e-05 3.268313731025157409e+01
1.879790561123358985e-05 1.736185859367543927e+01
2.319953531544541976e-05 1.845151762084716296e+01
2.863183005509724818e-05 1.898767811437251751e+01
3.533612553688473591e-05 2.589057235949008984e+01
4.361026750842233248e-05 2.047817924843673509e+01
5.382184388525991471e-05 2.129639539221379252e+01
6.642451525090601434e-05 2.206115841444956160e+01
8.197816923039700956e-05 2.302725278746285298e+01
1.011737941177666774e-04 2.395912715100524792e+01
1.248641767958478751e-04 2.488873312629272405e+01
1.541017887374738463e-04 5.401381721061139984e+01
1.901855432156160397e-04 2.701114495853733644e+01
2.347185009632734394e-04 2.820994218761286376e+01
2.896790879209295861e-04 2.935922591259297931e+01
3.575089889988337087e-04 3.061847148018110332e+01
4.412216226317854811e-04 3.189793294454619854e+01
5.445360152285871414e-04 3.327027270913778523e+01
6.720420230367624669e-04 3.471451247036130638e+01
8.294042415867630214e-04 3.624880749876840014e+01
1.023613661618423933e-03 3.786280939694815117e+01
1.263298251582753266e-03 3.958126040101825538e+01
1.559106264690475474e-03 4.141238281798825938e+01
1.924179299347233236e-03 4.335909366181081026e+01
2.374736129208901945e-03 4.545546197142529365e+01
2.930793240153456262e-03 4.769061323705194155e+01
3.617054084821891453e-03 5.011077546430324503e+01
4.464006560845520596e-03 5.272597954483465799e+01
5.509277469444613315e-03 5.555002060545288600e+01
6.799304127720881552e-03 5.862895631843671396e+01
8.391397397870157052e-03 6.201497668310074118e+01
1.035628778567156995e-02 6.573370776294342477e+01
1.278126772149680741e-02 6.986944218923271421e+01
1.577406962315143837e-02 7.448620914374772894e+01
1.946765202778255252e-02 7.967653206746651051e+01
2.402610642206036429e-02 3.522775655918971438e+02
2.965194718810280905e-02 4.909445511203960564e+02
3.659510852905970002e-02 1.002039210249970722e+02
4.516404807273444177e-02 1.094751805516087728e+02
5.573945044312399177e-02 1.205843906236912915e+02
6.879113959621135921e-02 1.342102676666497416e+02
8.489895126924783264e-02 1.514194893271013029e+02
1.047784928251877246e-01 1.739712542565781632e+02
1.293129349018774799e-01 2.050751817076680368e+02
1.595922472452041274e-01 2.513883441477460678e+02
1.969616218215194947e-01 3.292558615855946300e+02
2.430812344597086949e-01 4.925983441136122565e+02
2.999999999999999334e-01 1.065233786048710044e+03
