# S_vals   V0
0.0000000000e+00 0.0000000000e+00
3.0030030030e-03 -6.7402248720e-13
6.0060060060e-03 -9.6761833618e-12
9.0090090090e-03 -4.5703954877e-11
1.2012012012e-02 -1.3708811085e-10
1.5015015015e-02 -3.2075210157e-10
1.8018018018e-02 -6.4150098691e-10
2.1021021021e-02 -1.1514768667e-09
2.4024024024e-02 -1.9097166067e-09
2.7027027027e-02 -2.9817791514e-09
3.0030030030e-02 -4.4394233542e-09
3.3033033033e-02 -6.3603241887e-09
3.6036036036e-02 -8.8278191328e-09
3.9039039039e-02 -1.1930678902e-08
4.2042042042e-02 -1.5762898251e-08
4.5045045045e-02 -2.0423503610e-08
4.8048048048e-02 -2.6016375035e-08
5.1051051051e-02 -3.2650080486e-08
5.4054054054e-02 -4.0437720843e-08
5.7057057057e-02 -4.9496784338e-08
6.0060060060e-02 -5.9949009333e-08
6.3063063063e-02 -7.1920254530e-08
6.6066066066e-02 -8.5540375857e-08
6.9069069069e-02 -1.0094310937e-07
7.2072072072e-02 -1.1826595960e-07
7.5075075075e-02 -1.3765009290e-07
7.8078078078e-02 -1.5924023531e-07
8.1081081081e-02 -1.8318457459e-07
8.4084084084e-02 -2.0963466615e-07
8.7087087087e-02 -2.3874534245e-07
9.0090090090e-02 -2.7067462582e-07
9.3093093093e-02 -3.0558364419e-07
9.6096096096e-02 -3.4363654982e-07
9.9099099099e-02 -3.8500044059e-07
1.0210210210e-01 -4.2984528388e-07
1.0510510511e-01 -4.7834384272e-07
1.0810810811e-01 -5.3067160421e-07
1.1111111111e-01 -5.8700670993e-07
1.1411411411e-01 -6.4752988842e-07
1.1711711712e-01 -7.1242438944e-07
1.2012012012e-01 -7.8187591997e-07
1.2312312312e-01 -8.5607258194e-07
1.2612612613e-01 -9.3520481152e-07
1.2912912913e-01 -1.0194653198e-06
1.3213213213e-01 -1.1090490351e-06
1.3513513514e-01 -1.2041530465e-06
1.3813813814e-01 -1.3049765486e-06
1.4114114114e-01 -1.4117207877e-06
1.4414414414e-01 -1.5245890092e-06
1.4714714715e-01 -1.6437864058e-06
1.5015015015e-01 -1.7695200671e-06
1.5315315315e-01 -1.9019989302e-06
1.5615615616e-01 -2.0414337311e-06
1.5915915916e-01 -2.1880369573e-06
1.6216216216e-01 -2.3420228014e-06
1.6516516517e-01 -2.5036071151e-06
1.6816816817e-01 -2.6730073644e-06
1.7117117117e-01 -2.8504425859e-06
1.7417417417e-01 -3.0361333432e-06
1.7717717718e-01 -3.2303016848e-06
1.8018018018e-01 -3.4331711020e-06
1.8318318318e-01 -3.6449664884e-06
1.8618618619e-01 -3.8659140991e-06
1.8918918919e-01 -4.0962415112e-06
1.9219219219e-01 -4.3361775851e-06
1.9519519520e-01 -4.5859524258e-06
1.9819819820e-01 -4.8457973452e-06
2.0120120120e-01 -5.1159448249e-06
2.0420420420e-01 -5.3966284796e-06
2.0720720721e-01 -5.6880830212e-06
2.1021021021e-01 -5.9905442230e-06
2.1321321321e-01 -6.3042488850e-06
2.1621621622e-01 -6.6294347988e-06
2.1921921922e-01 -6.9663407144e-06
2.2222222222e-01 -7.3152063061e-06
2.2522522523e-01 -7.6762721395e-06
