# S_vals   V_full,   V_ht,   V_zero
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
5.0050050050e-03 1.5518970006e-08 1.6216953259e-08 -1.4544386767e-11
1.0010010010e-02 6.2539889610e-08 6.3444125803e-08 -2.0572678243e-10
1.5015015015e-02 1.3896280944e-07 1.3944659909e-07 -9.6158391571e-10
2.0020020020e-02 2.4153482572e-07 2.4186295178e-07 -2.8598940254e-09
2.5025025025e-02 3.6827920506e-07 3.6821554292e-07 -6.6428382872e-09
3.0030030030e-02 5.1583526260e-07 5.1592298648e-07 -1.3199686778e-08
3.5035035035e-02 6.8230331420e-07 6.8231351042e-07 -2.3553538547e-08
4.0040040040e-02 8.6462673946e-07 8.6463810615e-07 -3.8850552511e-08
4.5045045045e-02 1.0601696635e-06 1.0600827033e-06 -6.0350872769e-08
5.0050050050e-02 1.2659141841e-06 1.2657789392e-06 -8.9420783945e-08
5.5055055055e-02 1.4788770030e-06 1.4788133641e-06 -1.2752580113e-07
6.0060060060e-02 1.6963795669e-06 1.6962351097e-06 -1.7622449449e-07
6.5065065065e-02 1.9152907601e-06 1.9150621560e-06 -2.3716290673e-07
7.0070070070e-02 2.1325199211e-06 2.1322863779e-06 -3.1206945933e-07
7.5075075075e-02 2.3452526448e-06 2.3448775642e-06 -4.0275026852e-07
8.0080080080e-02 2.5503185942e-06 2.5497865856e-06 -5.1108480986e-07
8.5085085085e-02 2.7446245393e-06 2.7439478673e-06 -6.3902188317e-07
9.0090090090e-02 2.9252070426e-06 2.9242812925e-06 -7.8857583859e-07
9.5095095095e-02 3.0888679425e-06 3.0876936384e-06 -9.6182303221e-07
1.0010010010e-01 3.2326195564e-06 3.2310796209e-06 -1.1608984847e-06
1.0510510511e-01 3.3532320343e-06 3.3513226001e-06 -1.3879927212e-06
1.1011011011e-01 3.4477812125e-06 3.4452949790e-06 -1.6453487732e-06
1.1511511512e-01 3.5130488793e-06 3.5098583012e-06 -1.9352593276e-06
