# S_vals   V_full
0.0000000000e+00 0.0000000000e+00
3.0030030030e-03 5.0126771824e-08
6.0060060060e-03 2.0073571907e-07
9.0090090090e-03 4.5215611200e-07
1.2012012012e-02 8.0470033270e-07
1.5015015015e-02 1.2586649349e-06
1.8018018018e-02 1.8143313799e-06
2.1021021021e-02 2.4719666117e-06
2.4024024024e-02 3.2318235367e-06
2.7027027027e-02 4.0941414385e-06
3.0030030030e-02 5.0591463495e-06
3.3033033033e-02 6.1270513889e-06
3.6036036036e-02 7.2980570763e-06
3.9039039039e-02 8.5723516268e-06
4.2042042042e-02 9.9501112306e-06
4.5045045045e-02 1.1431500321e-05
4.8048048048e-02 1.3016671832e-05
5.1051051051e-02 1.4705767450e-05
5.4054054054e-02 1.6498917858e-05
5.7057057057e-02 1.8396242969e-05
6.0060060060e-02 2.0397852168e-05
6.3063063063e-02 2.2503844532e-05
6.6066066066e-02 2.4637679528e-05
6.9069069069e-02 2.6827583370e-05
7.2072072072e-02 2.9116547499e-05
7.5075075075e-02 3.1504632005e-05
7.8078078078e-02 3.3991887770e-05
8.1081081081e-02 3.6578356682e-05
8.4084084084e-02 3.9264071840e-05
8.7087087087e-02 4.2049057765e-05
9.0090090090e-02 4.4933330599e-05
9.3093093093e-02 4.7834816538e-05
9.6096096096e-02 5.0810224094e-05
9.9099099099e-02 5.3881507447e-05
1.0210210210e-01 5.7048651211e-05
1.0510510511e-01 6.0311632602e-05
1.0810810811e-01 6.3670421623e-05
1.1111111111e-01 6.7124981251e-05
1.1411411411e-01 7.0575853081e-05
1.1711711712e-01 7.4119320685e-05
1.2012012012e-01 7.7755745258e-05
1.2312312312e-01 8.1485063454e-05
1.2612612613e-01 8.5307205782e-05
1.2912912913e-01 8.9196147144e-05
1.3213213213e-01 9.3106594267e-05
1.3513513514e-01 9.7107389365e-05
1.3813813814e-01 1.0119843999e-04
1.4114114114e-01 1.0537964835e-04
1.4414414414e-01 1.0962970589e-04
1.4714714715e-01 1.1389660256e-04
1.5015015015e-01 1.1825138842e-04
1.5315315315e-01 1.2269394574e-04
1.5615615616e-01 1.2722415223e-04
1.5915915916e-01 1.3178083755e-04
1.6216216216e-01 1.3639314095e-04
1.6516516517e-01 1.4109096529e-04
1.6816816817e-01 1.4587417107e-04
1.7117117117e-01 1.5070018007e-04
1.7417417417e-01 1.5556323283e-04
1.7717717718e-01 1.6050965165e-04
1.8018018018e-01 1.6553928187e-04
1.8318318318e-01 1.7060176394e-04
1.8618618619e-01 1.7570848769e-04
1.8918918919e-01 1.8089649350e-04
1.9219219219e-01 1.8616561332e-04
1.9519519520e-01 1.9143731736e-04
1.9819819820e-01 1.9678045694e-04
2.0120120120e-01 2.0220284943e-04
2.0420420420e-01 2.0766705874e-04
2.0720720721e-01 2.1316180330e-04
2.1021021021e-01 2.1873400348e-04
2.1321321321e-01 2.2437162817e-04
2.1621621622e-01 2.3001425411e-04
2.1921921922e-01 2.3573259172e-04
2.2222222222e-01 2.4152644626e-04
2.2522522523e-01 2.4731378952e-04
2.2822822823e-01 2.5317444984e-04
2.3123123123e-01 2.5910892217e-04
2.3423423423e-01 2.6503810639e-04
2.3723723724e-01 2.7103718033e-04
2.4024024024e-01 2.7710347512e-04
2.4324324324e-01 2.8316625230e-04
2.4624624625e-01 2.8929975923e-04
2.4924924925e-01 2.9548357378e-04
2.5225225225e-01 3.0167835586e-04
2.5525525526e-01 3.0794227452e-04
2.5825825826e-01 3.1423273739e-04
2.6126126126e-01 3.2055544246e-04
2.6426426426e-01 3.2694571911e-04
2.6726726727e-01 3.3333275058e-04
2.7027027027e-01 3.3977928729e-04
2.7327327327e-01 3.4626451263e-04
2.7627627628e-01 3.5276604263e-04
2.7927927928e-01 3.5933231615e-04
2.8228228228e-01 3.6589692910e-04
2.8528528529e-01 3.7251559369e-04
2.8828828829e-01 3.7916349359e-04
2.9129129129e-01 3.8583317715e-04
2.9429429429e-01 3.9255779418e-04
2.9729729730e-01 3.9927707267e-04
3.0030030030e-01 4.0605715130e-04
3.0330330330e-01 4.1283973232e-04
3.0630630631e-01 4.1966674911e-04
3.0930930931e-01 4.2651399360e-04
3.1231231231e-01 4.3338647233e-04
3.1531531532e-01 4.4029302855e-04
3.1831831832e-01 4.4720946240e-04
3.2132132132e-01 4.5417030114e-04
3.2432432432e-01 4.6112916293e-04
3.2732732733e-01 4.6813953971e-04
3.3033033033e-01 4.7513927975e-04
3.3333333333e-01 4.8219380996e-04
3.3633633634e-01 4.8923375718e-04
3.3933933934e-01 4.9632650434e-04
3.4234234234e-01 5.0340675219e-04
3.4534534535e-01 5.1053615744e-04
3.4834834835e-01 5.1765261065e-04
3.5135135135e-01 5.2481710787e-04
3.5435435435e-01 5.3196585370e-04
3.5735735736e-01 5.3916063375e-04
3.6036036036e-01 5.4634116238e-04
3.6336336336e-01 5.5356144241e-04
3.6636636637e-01 5.6077336056e-04
3.6936936937e-01 5.6801569223e-04
3.7237237237e-01 5.7525740840e-04
3.7537537538e-01 5.8251847069e-04
3.7837837838e-01 5.8978839172e-04
3.8138138138e-01 5.9706497521e-04
3.8438438438e-01 6.0436151102e-04
3.8738738739e-01 6.1165051263e-04
3.9039039039e-01 6.1896915729e-04
3.9339339339e-01 6.2627048878e-04
3.9639639640e-01 6.3359624661e-04
3.9939939940e-01 6.4092040654e-04
4.0240240240e-01 6.4825045158e-04
4.0540540541e-01 6.5559585568e-04
4.0840840841e-01 6.6292744068e-04
4.1141141141e-01 6.7027993298e-04
4.1441441441e-01 6.7762296520e-04
4.1741741742e-01 6.8497235592e-04
4.2042042042e-01 6.9233285415e-04
4.2342342342e-01 6.9967660573e-04
4.2642642643e-01 7.0703555029e-04
4.2942942943e-01 7.1438864462e-04
4.3243243243e-01 7.2173770261e-04
4.3543543544e-01 7.2909847791e-04
4.3843843844e-01 7.3644130620e-04
4.4144144144e-01 7.4378817471e-04
4.4444444444e-01 7.5114251258e-04
4.4744744745e-01 7.5847320845e-04
4.5045045045e-01 7.6581083317e-04
4.5345345345e-01 7.7314983831e-04
4.5645645646e-01 7.8046755814e-04
4.5945945946e-01 7.8778927220e-04
4.6246246246e-01 7.9511006117e-04
4.6546546547e-01 8.0240831137e-04
4.6846846847e-01 8.0970779816e-04
4.7147147147e-01 8.1700724149e-04
4.7447447447e-01 8.2428010263e-04
4.7747747748e-01 8.3155135688e-04
4.8048048048e-01 8.3882004933e-04
4.8348348348e-01 8.4606818746e-04
4.8648648649e-01 8.5330548696e-04
4.8948948949e-01 8.6053784000e-04
4.9249249249e-01 8.6775838373e-04
4.9549549550e-01 8.7495626010e-04
4.9849849850e-01 8.8214693004e-04
5.0150150150e-01 8.8932936012e-04
5.0450450450e-01 8.9649025734e-04
5.0750750751e-01 9.0363412728e-04
5.1051051051e-01 9.1076766119e-04
5.1351351351e-01 9.1788990938e-04
5.1651651652e-01 9.2498667941e-04
5.1951951952e-01 9.3206650696e-04
5.2252252252e-01 9.3913310052e-04
5.2552552553e-01 9.4618558300e-04
5.2852852853e-01 9.5321375856e-04
5.3153153153e-01 9.6022015492e-04
5.3453453453e-01 9.6721061950e-04
5.3753753754e-01 9.7418433987e-04
5.4054054054e-01 9.8113949001e-04
5.4354354354e-01 9.8806364163e-04
5.4654654655e-01 9.9496934450e-04
5.4954954955e-01 1.0018558408e-03
5.5255255255e-01 1.0087223921e-03
5.5555555556e-01 1.0155671885e-03
5.5855855856e-01 1.0223799917e-03
5.6156156156e-01 1.0291712803e-03
5.6456456456e-01 1.0359403646e-03
5.6756756757e-01 1.0426865713e-03
5.7057057057e-01 1.0494092428e-03
5.7357357357e-01 1.0561032691e-03
5.7657657658e-01 1.0627674732e-03
5.7957957958e-01 1.0694067169e-03
5.8258258258e-01 1.0760203847e-03
5.8558558559e-01 1.0826078728e-03
5.8858858859e-01 1.0891685894e-03
5.9159159159e-01 1.0957019570e-03
5.9459459459e-01 1.1022012956e-03
5.9759759760e-01 1.1086710992e-03
