# S_vals,  V_ht_pi,   V_ht_pi_over4,   V_ht_pi_by4
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
2.0020020020e-04 1.5014266557e-03 1.4606041471e-03 1.5403384784e-03
4.0040040040e-04 5.9678940827e-03 5.8046601061e-03 6.1234639333e-03
6.0060060060e-04 1.3340705799e-02 1.2973467869e-02 1.3690620132e-02
8.0080080080e-04 2.3558539593e-02 2.2905584708e-02 2.4180500415e-02
1.0010010010e-03 3.6557468134e-02 3.5536845454e-02 3.7529268473e-02
1.2012012012e-03 5.2270987110e-02 5.0800390178e-02 5.3670586721e-02
1.4014014014e-03 7.0630050235e-02 6.8626698601e-02 7.2535651598e-02
1.6016016016e-03 9.1563110311e-02 8.8943630427e-02 9.4053234994e-02
1.8018018018e-03 1.1499616546e-01 1.1167647071e-01 1.1814973090e-01
2.0020020020e-03 1.4085280956e-01 1.3674797927e-01 1.4474920635e-01
2.2022022022e-03 1.6905428597e-01 1.6407844327e-01 1.7377345563e-01
2.4024024024e-03 1.9951954346e-01 1.9358573181e-01 2.0514205688e-01
2.6026026026e-03 2.3216529362e-01 2.2518535191e-01 2.3877243010e-01
2.8028028028e-03 2.6690606873e-01 2.5879050466e-01 2.7457989580e-01
3.0030030030e-03 3.0365427951e-01 2.9431214117e-01 3.1247773344e-01
3.2032032032e-03 3.4232027188e-01 3.3165901728e-01 3.5237723915e-01
3.4034034034e-03 3.8281238244e-01 3.7073774673e-01 3.9418778196e-01
3.6036036036e-03 4.2503699194e-01 4.1145285217e-01 4.3781685841e-01
3.8038038038e-03 4.6889857660e-01 4.5370681362e-01 4.8317014477e-01
4.0040040040e-03 5.1429975686e-01 4.9740011410e-01 5.3015154704e-01
4.2042042042e-03 5.6114134353e-01 5.4243128232e-01 5.7866324820e-01
4.4044044044e-03 6.0932238096e-01 5.8869693196e-01 6.2860575277e-01
4.6046046046e-03 6.5874018754e-01 6.3609179778e-01 6.7987792868e-01
4.8048048048e-03 7.0929039311e-01 6.8450876819e-01 7.3237704624e-01
5.0050050050e-03 7.6086697369e-01 7.3383891439e-01 7.8599881449e-01
