# phi  Veff_T1e-05  Veff_T1e-03
# # g0=0.6  y0=0.0  lam0=0.0  m0=0.0  scale=pi
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
2.0000000000e-06 1.1236067672e-23 1.4033119758e-19
4.0000000000e-06 3.8056295206e-23 5.6096564592e-19
6.0000000000e-06 6.4954696548e-23 1.2613618059e-18
8.0000000000e-06 6.9659015847e-23 2.2409743782e-18
1.0000000000e-05 2.8289614037e-23 3.4992543027e-18
1.2000000000e-05 -9.0522542108e-23 5.0356487580e-18
1.4000000000e-05 -3.2185425165e-22 6.8496011627e-18
1.6000000000e-05 -7.0637426525e-22 8.9405511752e-18
1.8000000000e-05 -1.2900846183e-21 1.1307934693e-17
2.0000000000e-05 -2.1240838698e-21 1.3951183856e-17
2.2000000000e-05 -3.2645632445e-21 1.6869727044e-17
2.4000000000e-05 -4.7728044965e-21 2.0062988879e-17
2.6000000000e-05 -6.7151786697e-21 2.3530390225e-17
2.8000000000e-05 -9.1631453493e-21 2.7271348189e-17
3.0000000000e-05 -1.2193252193e-20 3.1285276121e-17
3.2000000000e-05 -1.5887134629e-20 3.5571583616e-17
3.4000000000e-05 -2.0331515652e-20 4.0129676515e-17
3.6000000000e-05 -2.5618205688e-20 4.4958956904e-17
3.8000000000e-05 -3.1844102499e-20 5.0058823116e-17
4.0000000000e-05 -3.9111191113e-20 5.5428669732e-17
4.2000000000e-05 -4.7526543778e-20 6.1067887582e-17
4.4000000000e-05 -5.7202319922e-20 6.6975863747e-17
4.6000000000e-05 -6.8255766128e-20 7.3151981558e-17
4.8000000000e-05 -8.0809216116e-20 7.9595620601e-17
5.0000000000e-05 -9.4990090724e-20 8.6306156711e-17
5.2000000000e-05 -1.1093089790e-19 9.3282961983e-17
5.4000000000e-05 -1.2876923267e-19 1.0052540477e-16
5.6000000000e-05 -1.4864777719e-19 1.0803284967e-16
5.8000000000e-05 -1.7071430066e-19 1.1580465755e-16
6.0000000000e-05 -1.9512165938e-19 1.2384018555e-16
6.2000000000e-05 -2.2202779673e-19 1.3213878705e-16
6.4000000000e-05 -2.5159574315e-19 1.4069981171e-16
6.6000000000e-05 -2.8399361614e-19 1.4952260544e-16
6.8000000000e-05 -3.1939462031e-19 1.5860651043e-16
7.0000000000e-05 -3.5797704728e-19 1.6795086514e-16
7.2000000000e-05 -3.9992427578e-19 1.7755500430e-16
7.4000000000e-05 -4.4542477158e-19 1.8741825891e-16
7.6000000000e-05 -4.9467208752e-19 1.9753995623e-16
7.8000000000e-05 -5.4786486349e-19 2.0791941984e-16
8.0000000000e-05 -6.0520682647e-19 2.1855596954e-16
8.2000000000e-05 -6.6690679046e-19 2.2944892147e-16
8.4000000000e-05 -7.3317865655e-19 2.4059758801e-16
8.6000000000e-05 -8.0424141288e-19 2.5200127784e-16
8.8000000000e-05 -8.8031913464e-19 2.6365929594e-16
9.0000000000e-05 -9.6164098408e-19 2.7557094355e-16
9.2000000000e-05 -1.0484412105e-18 2.8773551824e-16
9.4000000000e-05 -1.1409591504e-18 3.0015231384e-16
9.6000000000e-05 -1.2394392270e-18 3.1282062049e-16
9.8000000000e-05 -1.3441309509e-18 3.2573972465e-16
1.0000000000e-04 -1.4552889196e-18 3.3890890904e-16
1.0200000000e-04 -1.5731728178e-18 3.5232745272e-16
1.0400000000e-04 -1.6980474170e-18 3.6599463105e-16
1.0600000000e-04 -1.8301825761e-18 3.7990971568e-16
1.0800000000e-04 -1.9698532407e-18 3.9407197459e-16
1.1000000000e-04 -2.1173394437e-18 4.0848067207e-16
1.1200000000e-04 -2.2729263049e-18 4.2313506873e-16
1.1400000000e-04 -2.4369040314e-18 4.3803442151e-16
1.1600000000e-04 -2.6095679170e-18 4.5317798365e-16
1.1800000000e-04 -2.7912183429e-18 4.6856500473e-16
1.2000000000e-04 -2.9821607772e-18 4.8419473067e-16
1.2200000000e-04 -3.1827057750e-18 5.0006640369e-16
1.2400000000e-04 -3.3931689785e-18 5.1617926238e-16
1.2600000000e-04 -3.6138711170e-18 5.3253254166e-16
1.2800000000e-04 -3.8451380068e-18 5.4912547276e-16
1.3000000000e-04 -4.0873005514e-18 5.6595728331e-16
1.3200000000e-04 -4.3406947411e-18 5.8302719723e-16
1.3400000000e-04 -4.6056616535e-18 6.0033443484e-16
1.3600000000e-04 -4.8825474531e-18 6.1787821277e-16
1.3800000000e-04 -5.1717033914e-18 6.3565774404e-16
1.4000000000e-04 -5.4734858073e-18 6.5367223802e-16
1.4200000000e-04 -5.7882561264e-18 6.7192090044e-16
1.4400000000e-04 -6.1163808614e-18 6.9040293339e-16
1.4600000000e-04 -6.4582316122e-18 7.0911753535e-16
1.4800000000e-04 -6.8141850657e-18 7.2806390117e-16
1.5000000000e-04 -7.1846229958e-18 7.4724122205e-16
1.5200000000e-04 -7.5699322635e-18 7.6664868561e-16
1.5400000000e-04 -7.9705048169e-18 7.8628547582e-16
1.5600000000e-04 -8.3867376911e-18 8.0615077307e-16
1.5800000000e-04 -8.8190330082e-18 8.2624375411e-16
1.6000000000e-04 -9.2677979774e-18 8.4656359210e-16
1.6200000000e-04 -9.7334448951e-18 8.6710945661e-16
1.6400000000e-04 -1.0216391145e-17 8.8788051358e-16
1.6600000000e-04 -1.0717059196e-17 9.0887592540e-16
1.6800000000e-04 -1.1235876607e-17 9.3009485082e-16
1.7000000000e-04 -1.1773276022e-17 9.5153644503e-16
1.7200000000e-04 -1.2329695173e-17 9.7319985965e-16
1.7400000000e-04 -1.2905576878e-17 9.9508424270e-16
1.7600000000e-04 -1.3501369043e-17 1.0171887386e-15
1.7800000000e-04 -1.4117524661e-17 1.0395124883e-15
1.8000000000e-04 -1.4754501811e-17 1.0620546290e-15
1.8200000000e-04 -1.5412763660e-17 1.0848142946e-15
1.8400000000e-04 -1.6092778462e-17 1.1077906151e-15
1.8600000000e-04 -1.6795019559e-17 1.1309827172e-15
1.8800000000e-04 -1.7519965377e-17 1.1543897240e-15
1.9000000000e-04 -1.8268099432e-17 1.1780107551e-15
1.9200000000e-04 -1.9039910327e-17 1.2018449263e-15
1.9400000000e-04 -1.9835891750e-17 1.2258913502e-15
1.9600000000e-04 -2.0656542477e-17 1.2501491356e-15
1.9800000000e-04 -2.1502366372e-17 1.2746173880e-15
2.0000000000e-04 -2.2373872385e-17 1.2992952090e-15
2.0200000000e-04 -2.3271574554e-17 1.3241816972e-15
2.0400000000e-04 -2.4195992003e-17 1.3492759472e-15
2.0600000000e-04 -2.5147648943e-17 1.3745770503e-15
2.0800000000e-04 -2.6127074674e-17 1.4000840944e-15
2.1000000000e-04 -2.7134803580e-17 1.4257961636e-15
2.1200000000e-04 -2.8171375134e-17 1.4517123387e-15
2.1400000000e-04 -2.9237333896e-17 1.4778316970e-15
2.1600000000e-04 -3.0333229513e-17 1.5041533121e-15
2.1800000000e-04 -3.1459616718e-17 1.5306762545e-15
2.2000000000e-04 -3.2617055333e-17 1.5573995908e-15
2.2200000000e-04 -3.3806110265e-17 1.5843223843e-15
2.2400000000e-04 -3.5027351509e-17 1.6114436949e-15
2.2600000000e-04 -3.6281354148e-17 1.6387625788e-15
2.2800000000e-04 -3.7568698351e-17 1.6662780890e-15
2.3000000000e-04 -3.8889969373e-17 1.6939892748e-15
2.3200000000e-04 -4.0245757558e-17 1.7218951821e-15
2.3400000000e-04 -4.1636658336e-17 1.7499948535e-15
2.3600000000e-04 -4.3063272225e-17 1.7782873278e-15
2.3800000000e-04 -4.4526204828e-17 1.8067716407e-15
2.4000000000e-04 -4.6026066838e-17 1.8354468244e-15
2.4200000000e-04 -4.7563474032e-17 1.8643119074e-15
2.4400000000e-04 -4.9139047277e-17 1.8933659149e-15
2.4600000000e-04 -5.0753412525e-17 1.9226078689e-15
2.4800000000e-04 -5.2407200815e-17 1.9520367876e-15
2.5000000000e-04 -5.4101048274e-17 1.9816516860e-15
2.5200000000e-04 -5.5835596117e-17 2.0114515756e-15
2.5400000000e-04 -5.7611490643e-17 2.0414354645e-15
2.5600000000e-04 -5.9429383241e-17 2.0716023573e-15
2.5800000000e-04 -6.1289930386e-17 2.1019512555e-15
2.6000000000e-04 -6.3193793639e-17 2.1324811567e-15
2.6200000000e-04 -6.5141639650e-17 2.1631910555e-15
2.6400000000e-04 -6.7134140155e-17 2.1940799429e-15
2.6600000000e-04 -6.9171971976e-17 2.2251468067e-15
2.6800000000e-04 -7.1255817025e-17 2.2563906311e-15
2.7000000000e-04 -7.3386362298e-17 2.2878103969e-15
2.7200000000e-04 -7.5564299880e-17 2.3194050818e-15
2.7400000000e-04 -7.7790326942e-17 2.3511736598e-15
2.7600000000e-04 -8.0065145742e-17 2.3831151017e-15
2.7800000000e-04 -8.2389463627e-17 2.4152283750e-15
2.8000000000e-04 -8.4763993028e-17 2.4475124435e-15
2.8200000000e-04 -8.7189451465e-17 2.4799662681e-15
2.8400000000e-04 -8.9666561545e-17 2.5125888060e-15
2.8600000000e-04 -9.2196050961e-17 2.5453790112e-15
2.8800000000e-04 -9.4778652495e-17 2.5783358343e-15
2.9000000000e-04 -9.7415104013e-17 2.6114582226e-15
2.9200000000e-04 -1.0010614847e-16 2.6447451199e-15
