# phi  Veff_T1e-03  Veff_T1e-02  Veff_T1e-01
# # g0=0.6  y0=0.0  lam0=0.0  m0=0.0  scale=pi
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
1.0000000000e-08 3.5106708419e-24 3.6892255320e-22 4.0657581468e-20
2.0000000000e-08 1.4041875574e-23 1.4756902128e-21 1.3552527156e-19
3.0000000000e-08 3.1594421990e-23 3.3219573400e-21 3.5236570606e-19
4.0000000000e-08 5.6167502297e-23 5.9093782961e-21 5.9631119487e-19
5.0000000000e-08 8.7761520391e-23 9.2329899973e-21 9.4867690092e-19
6.0000000000e-08 1.2637627432e-22 1.3294446805e-20 1.3823577699e-18
7.0000000000e-08 1.7201156215e-22 1.8095403080e-20 1.8838012747e-18
8.0000000000e-08 2.2466738386e-22 2.3634204462e-20 2.4530074152e-18
9.0000000000e-08 2.8434373946e-22 2.9912505311e-20 3.1306337731e-18
1.0000000000e-07 3.5104062896e-22 3.6928651267e-20 3.8489177123e-18
1.1000000000e-07 4.2475764844e-22 4.4684296690e-20 4.6756218688e-18
1.2000000000e-07 5.0549520182e-22 5.3177787220e-20 5.5565361340e-18
1.3000000000e-07 5.9325288519e-22 6.2410777217e-20 6.5323180892e-18
1.4000000000e-07 6.8803049661e-22 7.2379957960e-20 7.5487576259e-18
1.5000000000e-07 7.8982864191e-22 8.3088638170e-20 8.6871699070e-18
1.6000000000e-07 8.9864651332e-22 9.4538472209e-20 9.8933448239e-18
1.7000000000e-07 1.0144845147e-21 1.0672449699e-19 1.1153729849e-17
1.8000000000e-07 1.1373424442e-21 1.1964836688e-19 1.2522535092e-17
1.9000000000e-07 1.2672198977e-21 1.3331173624e-19 1.3918445389e-17
2.0000000000e-07 1.4041174813e-21 1.4771460507e-19 1.5449880958e-17
2.1000000000e-07 1.5480345891e-21 1.6285531900e-19 1.7035526635e-17
2.2000000000e-07 1.6989712209e-21 1.7873553240e-19 1.8702487475e-17
2.3000000000e-07 1.8569277809e-21 1.9535524527e-19 2.0423658424e-17
2.4000000000e-07 2.0219034610e-21 2.1270949452e-19 2.2253249590e-17
2.5000000000e-07 2.1938984634e-21 2.3080489760e-19 2.4137050865e-17
2.6000000000e-07 2.3729131919e-21 2.4963980015e-19 2.6088614775e-17
2.7000000000e-07 2.5589470406e-21 2.6920923908e-19 2.8162151430e-17
2.8000000000e-07 2.7519998077e-21 2.8951983184e-19 3.0289898194e-17
2.9000000000e-07 2.9520720988e-21 3.1056992407e-19 3.2471855066e-17
3.0000000000e-07 3.1591637122e-21 3.3235786140e-19 3.4775784682e-17
3.1000000000e-07 3.3732738400e-21 3.5488529820e-19 3.7133924408e-17
3.2000000000e-07 3.5944032900e-21 3.7814892575e-19 3.9559826769e-17
3.3000000000e-07 3.8225514563e-21 4.0215370713e-19 4.2053491765e-17
3.4000000000e-07 4.0577187429e-21 4.2689467925e-19 4.4655576979e-17
3.5000000000e-07 4.2999043420e-21 4.5237515084e-19 4.7311872302e-17
3.6000000000e-07 4.5491084554e-21 4.7859512189e-19 5.0049482787e-17
3.7000000000e-07 4.8053318911e-21 5.0555293806e-19 5.2881960963e-17
3.8000000000e-07 5.0685734372e-21 5.3325025369e-19 5.5782201774e-17
3.9000000000e-07 5.3388336997e-21 5.6168541443e-19 5.8750205222e-17
4.0000000000e-07 5.6161120728e-21 5.9085842027e-19 6.1799523832e-17
4.1000000000e-07 5.9004087583e-21 6.2077092558e-19 6.4930157605e-17
4.2000000000e-07 6.1917241601e-21 6.5141962164e-19 6.8142106541e-17
4.3000000000e-07 6.4900576725e-21 6.8280947152e-19 7.1435370640e-17
4.4000000000e-07 6.7954088914e-21 7.1493716651e-19 7.4796397374e-17
4.5000000000e-07 7.1077788267e-21 7.4780105225e-19 7.8211634218e-17
4.6000000000e-07 7.4271666706e-21 7.8140774618e-19 8.1735291278e-17
4.7000000000e-07 7.7535718172e-21 8.1575228521e-19 8.5326710975e-17
4.8000000000e-07 8.0869954782e-21 8.5083301499e-19 8.9012998361e-17
4.9000000000e-07 8.4274366439e-21 8.8665324423e-19 9.2753495856e-17
5.0000000000e-07 8.7748957181e-21 9.2321297295e-19 9.6561755987e-17
5.1000000000e-07 9.1293724989e-21 9.6051054677e-19 1.0047843634e-16
5.2000000000e-07 9.4908667845e-21 9.9854762006e-19 1.0444932679e-16
5.3000000000e-07 9.8593785746e-21 1.0373208841e-18 1.0851508494e-16
5.4000000000e-07 1.0234908273e-20 1.0768353020e-18 1.1264860572e-16
5.5000000000e-07 1.0617454871e-20 1.1170842562e-18 1.1684988914e-16
5.6000000000e-07 1.1007019175e-20 1.1580760186e-18 1.2114604025e-16
5.7000000000e-07 1.1403600378e-20 1.1998056262e-18 1.2549640147e-16
5.8000000000e-07 1.1807198884e-20 1.2422730788e-18 1.2995518290e-16
5.9000000000e-07 1.2217814490e-20 1.2854783766e-18 1.3448172697e-16
6.0000000000e-07 1.2635447803e-20 1.3294231738e-18 1.3906248115e-16
6.1000000000e-07 1.3060097409e-20 1.3741058161e-18 1.4375165554e-16
6.2000000000e-07 1.3491764318e-20 1.4195279579e-18 1.4849504005e-16
6.3000000000e-07 1.3930447722e-20 1.4656862905e-18 1.5333329224e-16
6.4000000000e-07 1.4376148226e-20 1.5125857768e-18 1.5823930707e-16
6.5000000000e-07 1.4828865428e-20 1.5602247627e-18 1.6322663707e-16
6.6000000000e-07 1.5288599528e-20 1.6085982849e-18 1.6829528222e-16
6.7000000000e-07 1.5755349921e-20 1.6577146153e-18 1.7341813749e-16
6.8000000000e-07 1.6229117011e-20 1.7075671365e-18 1.7863586044e-16
6.9000000000e-07 1.6709900596e-20 1.7581575027e-18 1.8392134604e-16
