# phi V_T=1e-05 V_T=1e-03 V_T=1e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.500000000000000052e-03 -5.203898486000200184e-13 -2.763785217456558261e-13 2.396657679972868764e-09
5.000000000000000104e-03 -8.303066039774285652e-12 -5.120308478392897315e-12 9.513810422126056481e-09
7.499999999999999722e-03 -4.199497949696406355e-11 -2.493251987377943321e-11 2.123987381025987161e-08
1.000000000000000021e-02 -1.326626690679574562e-10 -7.594955601392184620e-11 3.746015523444564278e-08
1.250000000000000069e-02 -3.237922615248654926e-10 -1.802419948510995644e-10 5.805690985460096407e-08
1.499999999999999944e-02 -6.712894715641215916e-10 -3.657143800133439142e-10 8.290941656890961787e-08
1.750000000000000167e-02 -1.243479601806483470e-09 -6.661052117011337926e-10 1.118940717895167917e-07
2.000000000000000042e-02 -2.121107542797027831e-09 -1.120986944454636112e-09 1.448844984391082016e-07
2.249999999999999917e-02 -3.397337773005159954e-09 -1.775765986415673258e-09 1.817516673387545301e-07
2.500000000000000139e-02 -5.177754358824603871e-09 -2.681682699033859063e-09 2.223640280566937556e-07
2.750000000000000014e-02 -7.580360954573406296e-09 -3.895811396933392533e-09 2.665876463240718320e-07
2.999999999999999889e-02 -1.073558080249393932e-08 -5.481060347846591406e-09 3.142863452705580134e-07
3.250000000000000111e-02 -1.478625673275289956e-08 -7.506171772578151744e-09 3.653218479704217932e-07
3.500000000000000333e-02 -1.988765116344130407e-08 -1.004572184498471388e-08 4.195539190882341483e-07
3.749999999999999861e-02 -2.620744610057447622e-08 -1.318012069196264994e-08 4.768405037462194020e-07
4.000000000000000083e-02 -3.392574313809208875e-08 -1.699561239344042894e-08 5.370378620813477969e-07
4.250000000000000305e-02 -4.323506345785814061e-08 -2.158427498237365289e-08 6.000006982972153546e-07
4.499999999999999833e-02 -5.434034782966090069e-08 -2.704402044474173649e-08 6.655822833315043745e-07
4.750000000000000056e-02 -6.745895661121304017e-08 -3.347859471954574821e-08 7.336345705433774522e-07
5.000000000000000278e-02 -8.282066974815151343e-08 -4.099757769880673601e-08 8.040083040717190205e-07
5.249999999999999806e-02 -1.006676867740375646e-07 -4.971638322756462562e-08 8.765531197220719590e-07
5.500000000000000028e-02 -1.212546268103567939e-07 -5.975625910387745618e-08 9.511176384081952533e-07
5.750000000000000250e-02 -1.448485285665192038e-07 -7.124428707882068538e-08 1.027549552306712406e-06
5.999999999999999778e-02 -1.717288503398587887e-07 -8.431338285648675279e-08 1.105695703982646771e-06
6.250000000000000000e-02 -2.021874700156345012e-07 -9.910229609398488125e-08 1.185402158814655225e-06
6.500000000000000222e-02 -2.365286850670290081e-07 -1.157556104014406997e-07 1.266514271096937268e-06
6.750000000000000444e-02 -2.750692125551495107e-07 -1.344237433419958066e-07 1.348876744222064338e-06
7.000000000000000666e-02 -3.181381891290275862e-07 -1.552629464318080474e-07 1.432333685361862575e-06
7.249999999999999500e-02 -3.660771710256188436e-07 -1.784353051400509858e-07 1.516728655063482255e-06
7.499999999999999722e-02 -4.192401340698040881e-07 -2.041087388889143795e-07 1.601904712169262605e-06
7.749999999999999944e-02 -4.779934736743870451e-07 -2.324570010536032147e-07 1.687704454453686320e-06
8.000000000000000167e-02 -5.427160048400973773e-07 -2.636596789623385528e-07 1.773970055350768821e-06
8.250000000000000389e-02 -6.137989621555878793e-07 -2.979021938963566303e-07 1.860543297123258598e-06
8.500000000000000611e-02 -6.916459997974355364e-07 -3.353758010899096268e-07 1.947265600800088389e-06
8.750000000000000833e-02 -7.766731915301428476e-07 -3.762775897302648704e-07 2.033978053184759311e-06
8.999999999999999667e-02 -8.693090307061350734e-07 -4.208104829577054472e-07 2.120521431212186612e-06
9.249999999999999889e-02 -9.699944302657635173e-07 -4.691832378655298830e-07 2.206736223907967845e-06
9.500000000000000111e-02 -1.079182722737302774e-06 -5.216104455000520378e-07 2.292462652181374437e-06
9.750000000000000333e-02 -1.197339660236951998e-06 -5.783125308606014232e-07 2.377540686661819128e-06
1.000000000000000056e-01 -1.324943414468833955e-06 -6.395157528995222498e-07 2.461810063768277157e-06
1.025000000000000078e-01 -1.462484576724997450e-06 -7.054522045221750680e-07 2.545110300182599214e-06
1.049999999999999961e-01 -1.610466157885412675e-06 -7.763598125869347564e-07 2.627280705880659329e-06
1.074999999999999983e-01 -1.769403588417978408e-06 -8.524823379051929573e-07 2.708160395859085566e-06
1.100000000000000006e-01 -1.939824718378513749e-06 -9.340693752413553232e-07 2.787588300681497844e-06
1.125000000000000028e-01 -2.122269817410764481e-06 -1.021376353312843529e-06 2.865403175954041900e-06
1.150000000000000050e-01 -2.317291574746399463e-06 -1.114664534790094320e-06 2.941443610829193507e-06
1.175000000000000072e-01 -2.525455099205012963e-06 -1.214201016296560250e-06 3.015548035625233180e-06
1.199999999999999956e-01 -2.747337919194121268e-06 -1.320258728408708097e-06 3.087554728638640801e-06
1.224999999999999978e-01 -2.983529982709167770e-06 -1.433116435656021402e-06 3.157301822218406043e-06
1.250000000000000000e-01 -3.234633657333521266e-06 -1.553058736520998351e-06 3.224627308162224563e-06
1.275000000000000022e-01 -3.501263730238470034e-06 -1.680376063439151565e-06 3.289369042487367027e-06
1.300000000000000044e-01 -3.784047408183229453e-06 -1.815364682799012335e-06 3.351364749621865897e-06
1.325000000000000067e-01 -4.083624317514941158e-06 -1.958326694942121301e-06 3.410452026055240987e-06
1.350000000000000089e-01 -4.400646504168667956e-06 -2.109570034163040741e-06 3.466468343481588009e-06
1.375000000000000111e-01 -4.735778433667395523e-06 -2.269408468709343551e-06 3.519251051462297789e-06
1.400000000000000133e-01 -5.089696991122040022e-06 -2.438161600781621089e-06 3.568637379630157976e-06
1.425000000000000155e-01 -5.463091481231437523e-06 -2.616154866533477874e-06 3.614464439450449729e-06
1.449999999999999900e-01 -5.856663628282343994e-06 -2.803719536071532435e-06 3.656569225549596825e-06
1.474999999999999922e-01 -6.271127576149453095e-06 -3.001192713455425360e-06 3.694788616616029244e-06
1.499999999999999944e-01 -6.707209888295375002e-06 -3.208917336697805318e-06 3.728959375872204136e-06
1.524999999999999967e-01 -7.165649547770633861e-06 -3.427242177764339223e-06 3.758918151109313845e-06
