T	HT	ODE+HT
1.000000e-05	5.658875e-04	5.580908e-04
1.120000e-03	1.209314e-01	1.200955e-01
2.230000e-03	2.728958e-01	2.710009e-01
3.340000e-03	4.426279e-01	4.395450e-01
4.450000e-03	1.221793e+00	6.217892e-01
5.560000e-03	8.214323e-01	8.157031e-01
6.670000e-03	1.027125e+00	1.019976e+00
7.780000e-03	1.242342e+00	1.233698e+00
8.890000e-03	1.466250e+00	1.456178e+00
1.000000e-02	1.698530e+00	1.686919e+00
1.000000e-02	1.698530e+00	1.686919e+00
1.091126e-02	1.895146e+00	1.882233e+00
1.190556e-02	2.115520e+00	2.101163e+00
1.299047e-02	2.362730e+00	2.346739e+00
1.417423e-02	2.640240e+00	2.622417e+00
1.546588e-02	2.952006e+00	2.932116e+00
1.687522e-02	3.302515e+00	3.280691e+00
1.841299e-02	3.696975e+00	3.672083e+00
2.009089e-02	4.141278e+00	4.113484e+00
2.192170e-02	4.642267e+00	4.611085e+00
2.391933e-02	5.207773e+00	5.173162e+00
2.609900e-02	5.846798e+00	5.807802e+00
2.847730e-02	6.569895e+00	6.526056e+00
3.107233e-02	7.389127e+00	7.340519e+00
3.390382e-02	8.318707e+00	8.263666e+00
3.699334e-02	9.375124e+00	9.313597e+00
4.036440e-02	1.057777e+01	1.050753e+01
4.404264e-02	1.194947e+01	1.187039e+01
4.805607e-02	1.351706e+01	1.342826e+01
5.243523e-02	1.531287e+01	1.521586e+01
5.721344e-02	1.737502e+01	1.726127e+01
6.242707e-02	1.974966e+01	1.962799e+01
6.811580e-02	2.249259e+01	2.234921e+01
7.432292e-02	2.567200e+01	2.550764e+01
8.109568e-02	2.937176e+01	2.918253e+01
8.848560e-02	3.369629e+01	3.348127e+01
9.654894e-02	3.877697e+01	3.853031e+01
1.053471e-01	4.478130e+01	4.449784e+01
1.149469e-01	5.192625e+01	5.160147e+01
1.254216e-01	6.049782e+01	6.012127e+01
1.368507e-01	7.088118e+01	7.044569e+01
1.493214e-01	8.360816e+01	8.310430e+01
1.629285e-01	9.943552e+01	9.885310e+01
1.777755e-01	1.194806e+02	1.187986e+02
1.939754e-01	1.454695e+02	1.446661e+02
2.116516e-01	1.802247e+02	1.792784e+02
2.309386e-01	2.287121e+02	2.275942e+02
2.519831e-01	3.005566e+02	nan
2.749453e-01	4.179018e+02	nan
3.000000e-01	6.479449e+02	nan
