T	S_ODE_HT_no_fermion	S_ODE_HT_fermion_y0
1.000000e-05	5.580908e-04	5.599482e-04
1.120000e-03	1.200955e-01	1.200159e-01
2.230000e-03	2.710009e-01	2.706460e-01
3.340000e-03	4.395450e-01	4.387791e-01
4.450000e-03	6.217892e-01	6.205507e-01
5.560000e-03	8.157031e-01	8.138839e-01
6.670000e-03	1.019976e+00	1.017513e+00
7.780000e-03	1.233698e+00	1.230529e+00
8.890000e-03	1.456178e+00	1.452243e+00
1.000000e-02	1.686919e+00	1.682151e+00
1.000000e-02	1.686919e+00	1.682151e+00
1.091126e-02	1.882233e+00	1.876737e+00
1.190556e-02	2.101163e+00	2.094816e+00
1.299047e-02	2.346739e+00	2.339439e+00
1.417423e-02	2.622417e+00	2.613988e+00
1.546588e-02	2.932116e+00	2.922400e+00
1.687522e-02	3.280691e+00	3.269306e+00
1.841299e-02	3.672083e+00	3.659156e+00
2.009089e-02	4.113484e+00	4.098579e+00
2.192170e-02	4.611085e+00	4.593891e+00
2.391933e-02	5.173162e+00	5.153388e+00
2.609900e-02	5.807802e+00	5.784883e+00
2.847730e-02	6.526056e+00	6.499548e+00
3.107233e-02	7.340519e+00	7.309836e+00
3.390382e-02	8.263666e+00	8.227972e+00
3.699334e-02	9.313597e+00	9.271514e+00
4.036440e-02	1.050753e+01	1.045969e+01
4.404264e-02	1.187039e+01	1.181477e+01
4.805607e-02	1.342826e+01	1.336325e+01
5.243523e-02	1.521586e+01	1.513682e+01
5.721344e-02	1.726127e+01	1.717312e+01
6.242707e-02	1.962799e+01	1.951753e+01
6.811580e-02	2.234921e+01	2.222741e+01
7.432292e-02	2.550764e+01	2.536547e+01
8.109568e-02	2.918253e+01	2.901278e+01
8.848560e-02	3.348127e+01	3.327973e+01
9.654894e-02	3.853031e+01	3.828963e+01
1.053471e-01	4.449784e+01	4.420824e+01
1.149469e-01	5.160147e+01	5.125058e+01
1.254216e-01	6.012127e+01	5.969678e+01
1.368507e-01	7.044569e+01	6.992498e+01
1.493214e-01	8.310430e+01	8.245474e+01
1.629285e-01	9.885310e+01	9.803363e+01
1.777755e-01	1.187986e+02	1.177419e+02
1.939754e-01	1.446661e+02	1.432839e+02
2.116516e-01	1.792784e+02	1.773840e+02
2.309386e-01	2.275942e+02	2.248911e+02
2.519831e-01	nan	2.951111e+02
2.749453e-01	nan	nan
3.000000e-01	nan	nan
